DEPT,DPHI,NPHI,GR,CALI,ILD
498.25,0.224,0.414,71.966,279.789,4.996
498.5,0.232,0.428,70.698,279.724,4.736
498.75,0.239,0.441,65.951,279.877,4.383
499,0.243,0.41,68.217,280.658,4.281
499.25,0.229,0.41,68.746,280.498,4.214
499.5,0.215,0.428,69.15,279.934,4.186
499.75,0.207,0.444,70.918,279.887,4.159
500,0.204,0.455,72.186,279.829,4.155
500.25,0.197,0.447,72.157,279.987,4.166
500.5,0.191,0.433,72.186,279.834,4.178
500.75,0.191,0.431,72.589,279.471,4.206
501,0.218,0.441,72.558,277.777,4.186
501.25,0.215,0.453,71.785,276.478,4.159
501.5,0.205,0.46,71.013,276.111,4.132
501.75,0.218,0.459,70.234,275.237,4.082
502,0.255,0.449,69.091,274.464,4.002
502.25,0.272,0.443,67.077,274.203,3.852
502.5,0.283,0.438,64.815,274.461,3.748
502.75,0.296,0.423,63.041,275.13,3.682
503,0.308,0.415,60.597,275.492,3.624
503.25,0.315,0.405,59.39,275.657,3.58
503.5,0.308,0.394,58.861,276.432,3.524
503.75,0.291,0.376,58.395,277,3.501
504,0.274,0.38,58.487,277.257,3.517
504.25,0.26,0.393,59.208,276.594,3.567
504.5,0.267,0.4,60.593,275.499,3.728
504.75,0.263,0.408,63.54,272.863,3.895
505,0.248,0.41,65.934,270.023,4.1
505.25,0.244,0.417,66.088,268.729,4.245
505.5,0.236,0.421,66.92,267.649,4.265
505.75,0.223,0.401,69.311,266.769,4.253
506,0.207,0.387,71.389,266.618,4.234
506.25,0.196,0.391,72.534,266.572,4.229
506.5,0.214,0.416,73.311,266.199,4.233
506.75,0.22,0.434,73.535,264.611,4.19
507,0.212,0.434,73.374,263.313,4.139
507.25,0.202,0.429,71.667,262.227,4.104
507.5,0.218,0.44,68.6,261.445,4.024
507.75,0.242,0.428,64.04,260.879,3.917
508,0.293,0.41,58.182,260.726,3.819
508.25,0.328,0.402,56.6,261.203,3.682
508.5,0.334,0.414,54.277,262.282,3.543
508.75,0.33,0.402,53.439,264.193,3.385
509,0.329,0.413,54.772,265.168,3.168
509.25,0.331,0.428,56.603,266.47,3.077
509.5,0.333,0.443,55.887,267.447,2.983
509.75,0.335,0.418,53.439,268.532,2.898
510,0.34,0.4,51.86,268.996,2.831
510.25,0.341,0.402,52.758,269.047,2.766
510.5,0.335,0.428,54.089,268.595,2.742
510.75,0.329,0.44,56.108,268.017,2.745
511,0.323,0.452,57.382,268.179,2.773
511.25,0.322,0.461,58.157,268.848,2.849
511.5,0.325,0.458,58.556,270.037,2.983
511.75,0.327,0.442,58.967,271.434,3.118
512,0.325,0.425,59.176,273.351,3.209
512.25,0.316,0.404,59.208,274.745,3.366
512.5,0.306,0.418,58.744,276.028,3.484
512.75,0.3,0.403,57.476,277.543,3.614
513,0.301,0.399,56.2,278.412,3.755
513.25,0.306,0.41,55.987,279.598,3.909
513.5,0.311,0.418,57.566,280.581,4.047
513.75,0.313,0.424,56.295,280.941,4.135
514,0.315,0.423,51.179,281.621,4.147
514.25,0.318,0.402,52.141,281.771,4.144
514.5,0.317,0.403,54.097,281.615,4.116
514.75,0.316,0.417,55.429,281.675,4.112
515,0.316,0.426,55.834,281.523,4.062
515.25,0.317,0.438,56.18,281.468,4.013
515.5,0.317,0.426,56.7,281.013,3.92
